traditional_name;latin_name;INCI_name;danger_factor;naturalness;usage;safety
ПОЛИГЛИЦЕРИЛ-10 ТРИСТЕАРАТ;POLYGLYCERYL-10 TRISTEARATE;POLYGLYCERYL-10 TRISTEARATE;Низкий;Синтетический;Вязкое белое вещество. Липофильный эмульгатор.  Применяется во всех типах косметических средств, в том числе в детской косметике.Skin-Conditioning Agent - Emollient\; Surfactant - Emulsifying Agent\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
АЦЕТИЛ ГЕКСАПЕПТИД-1;ACETYL HEXAPEPTIDE-1;ACETYL HEXAPEPTIDE-1;Низкий;Синтетический;Мелитан. Основной причиной нарушения пигментации кожи является сбой синтеза и распада меланина. Агонист меланолстимулирующего гормона. Активирует рецепторы к выработке гормона усиливающего пигментацию кожи под действием ультрафиолета, тем самым защищая кожу от повреждающего действия свободных радикалов. Усиливают выработку пигмента под действием ультрафиолета, но при этом уменьшают выработку медиаторов воспаления. Skin-Conditioning Agent - Miscellaneous\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению.
ВОСК ЛАКОВОГО ДЕРЕВА;RHUS VERNICIFLUA PEEL WAX;RHUS VERNICIFLUA PEEL WAX;Низкий;Синтетический;Ягодный воск. Произведен из мякоти разновидностей азиатских ягод Rhus Verniciflua. Тпл=48 – 54°С. Легко эмульгируется. В рецептурах помад воск работает как загуститель масла, особенно касторового масла. Может использоваться в различных кремах.Not Reported\; EMOLLIENT\; STABILISING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ТРИМЕТИЛСИЛАКСАНОФЕНИЛ ДИМЕТИКОН;TRIMETHYLSILOXYPHENYL DIMETHICONE;TRIMETHYLSILOXYPHENYL DIMETHICONE;Низкий;Синтетический;Фенилмодифицированный силикон. Обладает высоким показателем преломления, придает волосам блеск, а коже сияние. Как эмолент улучшают внешний вид кожи и сухих волос. Придают влагостойкость косметике.Hair Conditioning Agent;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
УНДАРИЯ ПЕРИСТАЯ ЭКСТРАКТ;UNDARIA PINNATIFIDA EXTRACT;UNDARIA PINNATIFIDA EXTRACT;Низкий;Натуральный;Экстракт из коричневой макроводоросли. Мощный активный смягчающий компонент. Безопасно осветляет кожи. Используется для придания кожи светлого оттенка и визуально уменьшения дефектов. Укрепляет волосы. Skin-Conditioning Agent - Miscellaneous\; SKIN CONDITIONING\; SKIN PROTECTING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ЭТИЛТРИМОНИУМХЛОРИД МЕТИЛАКРИЛАТ/ГИДРОКСИЭТИЛАКРИЛАМИД СОПОЛИМЕР;ETHYLTRIMONIUM CHLORIDE METHACRYLATE/HYDROXYETHYLACRYLAMIDE COPOLYMER;ETHYLTRIMONIUM CHLORIDE METHACRYLATE/HYDROXYETHYLACRYLAMIDE COPOLYMER;Низкий;Синтетический;Сополимер гидролизованного пшеничного протеина и катионного мономера. Кондиционирующая добавка для волос. Используется в смываемых и несмываемых средствах для волос. FILM FORMING\; HAIR CONDITIONING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ГИДРОКСИПРОПИЛГУАР;HYDROXYPROPYL GUAR;HYDROXYPROPYL GUAR;Низкий;Синтетический;Загуститель и эмульгатор натурального происхождения, полисахарид, пленкообразователь, улучшает сопротивляемость кожи. Водорастворимым.  Получают из смолы тропических растений. Используют в лосьонах, кремах для бритья, тонирующих кремах, средствах по уходу за волосами.Binder\; Emulsion Stabilizer\; Film Former\; Viscosity Increasing Agent - Aqueous\; ANTISTATIC\; BINDING\; EMULSION STABILISING\; FILM FORMING\; SURFACTANT\; VISCOSITY CONTROLLING;Абсолютно безопасный компонент при использовании по назначению.
ППГ-14 БУТИЛОВЫЙ ЭФИР;PPG-14 BUTYL ETHER;PPG-14 BUTYL ETHER;Низкий;Синтетический;Эмолент, разработанный для твердых стиков. Чаще всего используется при производстве антиперспирантов. Образует однородные дисперсии и позволяет быстро высвобождать активы. Не оставляет пятен. Может использоваться в кремах и лосьонах для снижения липкость.Hair Conditioning Agent\; Skin-Conditioning Agent - Miscellaneous\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
С12-13 ПАРЕТ-3;C12-13 PARETH-3;C12-13 PARETH-3;Низкий;Синтетический;Этоксилированный жирный спирт. Рекомендуется для систем по уходу за кожей в качестве диспергирующего и смачивающего компонента и соэмульгатор систем М/В.Surfactant - Emulsifying Agent;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
С12-13 ПАРЕТ-9;C12-13 PARETH-9;C12-13 PARETH-9;Низкий;Синтетический;Полиэтиленгликоль, эфир жирного спирта, на бале линейных и разветвленных высших жирных спиртов. Хороший эмульгатор, особенно для растворения отдушек и эфирных масел в воде и системах содержащих ПАВ. Высокоэффективных солюбилизатор. Surfactant - Emulsifying Agent;Абсолютно безопасный компонент при использовании по назначению.
ПОЛИКВАТЕРНИУМ-91;POLYQUATERNIUM-91;POLYQUATERNIUM-91;Низкий;Синтетический;Катионный полимер для шампуней, кондиционеров, муссов и лосьонов для укладки. Обеспечивает удержание цветовых пигментов в стержне волоса, мягкость волос и длительность действия. Придает коже гладкость и шелковистость –«прикосновение роскоши». Улучшает увлажненность  и мягкость кожи. рН 7.0;Абсолютно безопасный компонент при использовании по назначению.
ПОЛИАМИНОПРОПИЛБИГУАНИД;POLYAMINOPROPYL BIGUANIDE;POLYAMINOPROPYL BIGUANIDE;Низкий;Синтетический;Консервант. Наиболее активен против бактерий, среднеактивен против грибов. Несовместим с анионными ПАВ и мылами. Согласно Регламенту ЕС 1223/2009 и ТР ТС 009/2011 разрешен к использованию как консервант в максимально допустимой концентрации 0.3%. Запрещен к использованию в Японии.Preservative;Практически безопасный компонент.
ПЭГ-50 МАСЛО ШИ;PEG-50 SHEA BUTTER;PEG-50 SHEA BUTTER;Низкий;Синтетический;Эмульгатор. Рекомендовано к использованию в водных основах, таких как шампуни, кондиционеры, кремы, лосьоны и др. Surfactant - Emulsifying Agent;Практически безопасный компонент.
PEG-6 CAPRYLIC/ CAPRIC GLYCERIDE;PEG-6 CAPRYLIC/ CAPRIC GLYCERIDE;PEG-6 CAPRYLIC/ CAPRIC GLYCERIDE;Низкий;Синтетический;;
ППГ-12ПЭГ-50 ЛАНОЛИН;PPG-12-PEG-50 LANOLIN;PPG-12-PEG-50 LANOLIN;Низкий;Синтетический;Пластификатор для полимеров и смол. Растворим в воде и спиртах. Эмульгатор систем М/В и растворитель. Используется при производстве средств для укладки волос, средствах после бритья, антиперспирантах, кремах для загара и моющих системах. Hair Conditioning Agent\; Surfactant - Emulsifying Agent\; EMOLLIENT;Практически безопасный компонент.
AQUILARIA AGALLOCHA OIL;AQUILARIA AGALLOCHA OIL;AQUILARIA AGALLOCHA OIL;Низкий;Натуральный;;
ПРОПОЛИС;PROPOLIS;PROPOLIS;Низкий;Синтетический;Клейкое смолистое вещество, вырабатываемое пчелами для смазывания стенок ульев. От светло-зеленого до темно-коричневого цвета масса с приятным запахом. Смесь смол, воска, эфирных масел, дубильных веществ, пыльцы и механических примесей. Содержит органические кислоты, флавоноиды, микроэлементы. Обладает антисептическим, противовоспалительным, антиоксидантным и анестезирующими свойствами. Способствует заживлению ран и регенерации тканей. Использует в виде спиртового или пропиленгликолевого раствор, или в виде сухого очищенного порошка. Включается в кремы, маски, зубные пасты, средства по уходу за ногами.ANTISEBORRHOEIC\; MOISTURISING\; SMOOTHING;Абсолютно безопасный компонент при использовании по назначению.
КАРАТИНОИДЫ;CAROTENOIDS;CAROTENOIDS;Низкий;Синтетический;Оранжевые, желтые или красные пигменты бактерий, грибов и растений. По химической природе являются углеводородами терпенового ряда. Синтезируются растениями и некоторыми микроорганизмами. Из каротиноидов в организме человека и животных образуется витамин А. У растений и фотосинтезирующих бактерий принимают участие в фотосинтезе, обуславливают окраску цветов и плодов. Особенно богаты каротиноидами масла моркови, облепихи, шиповника, абрикоса. Являются антиоксидантами. Обладают высоким регенерирующим действием. Используются в качестве пищевых красителей. В медицине - для лечения пораженных участков кожи. Наиболее известен бета-каротин, предшественник витамина А. Витаминизирующая и антиоксидантная активность повышает физиологическое действие на кожу многих растительных экстрактов и масел.  Antioxidant\; Colorant\; Skin Protectant\; Ultraviolet Light Absorber\; SKIN PROTECTING\; UV ABSORBER;Абсолютно безопасный компонент при использовании по назначению.
КОРИЧНАЯ КИСЛОТА;CINNAMIC ACID;CINNAMIC ACID;Низкий;Синтетический;Жирно-ароматическая ненасыщенная карбоновая кислота. Трудно растворима в воде и легко в спирте и эфире. Находится в коричном масле, в толуанском и перуанском бальзамах (частью в виде эфира бензилового спирта). Обладает фотозащитной активностью, может применяться в средствах от загара. Применяется в парфюмерных композициях. Skin-Conditioning Agent - Miscellaneous\; PERFUMING;Абсолютно безопасный компонент при использовании по назначению.
КУРКУМА ДЛИННАЯ ЭКСТРАКТ;CURCUMA LONGA (TURMERIC) EXTRACT;CURCUMA LONGA (TURMERIC) EXTRACT;Низкий;Натуральный;В корнях растения содержится эфирное масло, витамины, сахара, протеины, фосфолипиды, лизоцим, минеральные соли. Экстракт обладает питательным, витаминизирующим, бактерицидным, спазмолитическими свойствами. В косметике применяется в средствах по уходу за кожей как на масляной основе и водно-спиртовой. Fragrance Ingredient\; Not Reported\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ОКСИРЕДУКТАЗЫ;OXIDO REDUCTASES;OXIDO REDUCTASES;Низкий;Синтетический;Ферменты, катализирующие окислительно-восстановительные реакции. Антиоксидант. Считается, что способны защищать клетки кожи от окислительных процессов, преводящих к преждевременному старению. Чаще всего получают из дрожжей.Skin-Conditioning Agent - Miscellaneous\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению.
ФЕРМЕН АСПЕГИЛЛУСА;ASPERGILLUS FERMENT;ASPERGILLUS FERMENT;Низкий;Синтетический;Продукт ферментации высших плесневых грибов Aspergillus. Является испочником различных ферментов - амилолитические, протеиназы, пектиназы, липазы, глюоксидазы, а также глюкозы, фруктозы, рибофлавина, тиамина,пантотеновой кислоты,инозитола, биотина т.д. Как правило в чистом виде не используется в косметических средствах, а входит в состав различных активных комплексов.  Skin-Conditioning Agent - Miscellaneous\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению.
C10-30 ХОЛЕСТЕРОЛ/ЛАНОСТЕРОЛ ЭФИРЫ;C10-30 CHOLESTEROL/ LANOSTEROL ESTERS;C10-30 CHOLESTEROL/ LANOSTEROL ESTERS;Низкий;Синтетический;Хороший смягчающий компонент для сухой кожи, детских масел и защитных кремов. Придает блеск губным помадам, а также повышает их увлажняющие и аппликационные свойства. Хороший стабилизатор эмульсий. Используется при производстве всех типов косметических средств, включая детскую и солнцезащитную косметику. Skin-Conditioning Agent - Miscellaneous\; Viscosity Increasing Agent - Nonaqueous\; EMULSIFYING\; SKIN CONDITIONING\; VISCOSITY CONTROLLING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
МИРИСТИЛОВЫЙ ЭФИР ПРОПИОНАТА ППГ-2;PPG-2 MYRISTYL ETHER PROPIONATE;PPG-2 MYRISTYL ETHER PROPIONATE;Низкий;Синтетический;Смягчающее средство.  Используется при производстве различных видов косметических средств, включая детскую косметику. Skin-Conditioning Agent - Miscellaneous\; EMOLLIENT\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
PPG-3 BENZYL ETHER MYRISTATE;PPG-3 BENZYL ETHER MYRISTATE;PPG-3 BENZYL ETHER MYRISTATE;Низкий;Синтетический;;PLASTICISER\; SKIN CONDITIONING
АЦЕТИЛ ТЕТРАПЕПДИД-2;ACETYL TETRAPEPTIDE-2;ACETYL TETRAPEPTIDE-2;Низкий;Синтетический;Синтетический продукт, полученный путем ацетилирования пептида Тетерапептид-2. Производное тимопоэтина. Аналог пептида вилочковой железы, способен влиять на все стадии воспаления, которое запускается, как универсальный механизм защиты при повреждении кожи любого генеза. Усиливает регенерацию эпидермальных структур. Компенсирует естественную возрастную утрату Т-лимфоцитов – улучшает кожный иммунитет, улучшает регенерацию эпидермальных структур. Широко применяется в качестве кондиционера для кожи. Часто рекламируется как \"гормон молодости\". Skin-Conditioning Agent - Miscellaneous\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению.
АКРИЛАТЫ/ПАЛМЕТ-25 АКРИЛАТ СОПОЛИМЕР;ACRYLATES/PALMETH-25 ACRYLATE COPOLYMER;ACRYLATES/PALMETH-25 ACRYLATE COPOLYMER;Низкий;Синтетический;Загуститель, стабилизатор, суспендирующий агент. Позволяет создавать прозрачные гели с высокой вязкостью. Особенно подходит для пеномоющих продуктов, дает отличное загущение, прозрачность, позволяет  удерживать различные частицы. Рабочий диапозон рН 4-12.5 Viscosity Increasing Agent - Aqueous\; VISCOSITY CONTROLLING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ЭМЕЛИ СМОЛА;CANARIUM LUZONICUM (ELEMI) GUM NONVOLATILES;CANARIUM LUZONICUM (ELEMI) GUM NONVOLATILES;Низкий;Синтетический;Натуральный продукт, добываемый надсечкой коры с дерева произрастающего на Филиппинах. При контакте с воздухом смола застывает. Слабо растворяется в воде, хорошо - спирте. Химический состав изменчив, основные компоненты: фелландрен, элемол, элемицин, лимонен. Используется для увеличения агдезии  и усиления блеска маникюрных лаков. Приятный запах позволяет применять ее в отдушках для мыла и парфюмерных композициях. Путем перегонки с водяным паром из смолы получают редкое эфирное мало элеми. Fragrance Ingredient\; Hair Conditioning Agent\; MASKING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
СОФОЛЬЯНС;CANDIDA BOMBICOLA/GLUCOSE/METHYL RAPESEEDATE FERMENT;CANDIDA BOMBICOLA/GLUCOSE/METHYL RAPESEEDATE FERMENT;Низкий;Натуральный;Натуральное биоповерхностное вещество комбинации гликолипидов, полученное с помощью ферментации. Антибактериальный и себоререгулирующий активный компонент. Поддерживает естественную микрофлору кожи.Antiacne Agent\; Antimicrobial Agent\; Cosmetic Biocide\; Deodorant Agent\; Surfactant -Cleansing Agent\; ANTISEBORRHOEIC\; SKIN PROTECTING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ИВА БЕЛАЯ КОРА;SALIX ALBA (WHITE WILLOW) BARK;SALIX ALBA (WHITE WILLOW) BARK;Низкий;Синтетический;Кора богат дубильными веществами, витамином С, гликозидами салицином (до 0.5%) и салингрином, молочной кислотой и другими биологически активными веществами. Сочетание вяжущего действия и дубильных веществ и с антисептическими свойствами салицина позволяет использовать экстракты в качестве противовоспалительных, тонизирующих, гемостатических компонентов в средствах по уходу за волосами, рекомендуемых при выпадении волос, перхоти, зуде. В кремах для рук и ног способствует заживлению ран и трещин на коже. Используется в кремах, масках, скрабах, лосьонах и дезодорантах, ножных ваннах при варикозном расширении вен и мышечной усталости, при потливости ног. Наряду с сухой корой и экстрактом применяются водные настои и отвары коры ивы. Их принимают в тех же случаях что и экстракт, кроме того их принимают внутрь при различных заболевания.;Абсолютно безопасный компонент при использовании по назначению.
НАТРИЯ ЛАУРИЛСУЛЬФАТ;SODIUM LAURYL SULFATE;SODIUM LAURYL SULFATE;Средний;Синтетический;Анионное ПАВ. получают сульфатированием алифатических спиртов на основе натурального или синтетического сырья. Хорошо растворяется в воде, практически не растворяется в неполярных органических растворителях. Обладает сильно выраженной моющей и пенообразующей способностью.Один из основных ПАВов, используемых в составе зубных паст. С солями кальция и магния образует плохо растовримые соли, что может вызвать образование налета на волосах и коже при использовании средств, содержащих лаурилсульфат натрия, в очень жесткой воде. Композиции с повышенным содержанием лаурилсульфата натрия дерматологически неблагоприятны в силу обезжиривающего и раздражающего действия на кожу. Используется при производстве шампуней, жидкого мыла, бытовых и технических моющих средств.  Denaturant\; Surfactant - Cleansing Agent\; EMULSIFYING\; FOAMING;В последнее время поступают данные о не безопасности этого компонента особенно для беременных женщин.
ГЛИЦЕРИЛСТЕАРАТ/ПЭГ-100 СТЕАРАТ;GLYCERYL STEARATE/ PEG-100 STEARATE;GLYCERYL STEARATE/ PEG-100 STEARATE;Низкий;Синтетический;Универсальный эмульгатор систем М/В. В основном используется для неполярных масляных фаз. Повышает вязкость и стабилизирует эмульсию. Используется в широкой линейке косметических средств, включая детскую косметику.;Практически безопасный компонент.
ДИМЕТИЛАМИНОЭТАНОЛ;DIMETHYL MEA;DIMETHYL MEA;Средний;Синтетический;Аминоспирт. Натуральный ноотроп, присутствующий в продуктах питания и в организме. В некоторых странах странах разрешен в качестве пищевой добавки или препаратов для улучшения памяти и интеллектуальных показателей, социальной адаптации и лечения алкогольной и табачной зависимостей. В косметике применяется для достижения эффекта лифтинга, увлажнения и повышения уровня обменных процессов кожи. Обладает выраженным антиоксидантным действием, обеспечения буферного действия.pH Adjuster\; BUFFERING;В допустимых концентрациях считается безопасным.
ГИДРОХИНОН;HYDROQUINONE;HYDROQUINONE;Низкий;Синтетический;Бесцветное кристаллическое вещество. Используется в стойких красках для волос в качестве модификатора пара-фенилендиамина (светло-коричневые, коричневые, каштановые тона) Может применять как отбеливающий агент в специальных кремах. Гидрохинон способен подавлять синтез меланина, являясь одним из самых сильных веществ такого типа. Вызывает сенсибилизацию и аллергические реакции. в ряде стан запрещен к применению в косметических средствах. В соответствии с законодательством ЕС 1223/2009 и ТР ТС 009/2011 прменение гидрохинона  в окислительных красках для волос разрешено в концентрации не более 0.3%, в остальных изделиях только для профессионального использования. Запрешено использовать в красках для бровей и ресниц. В системах для искусственных ногтей концентрация не должна превышать 0.02% после смешения компонентов. Для отбеливания кожи применяются производные гидрохинона, но также с ограничениями.Antioxidant\; Fragrance Ingredient\; Hair Colorant\; Reducing Agent\; Skin Bleaching Agent\; HAIR DYEING;Опасный компонент. Следует избегать средств, содержащих данный компонент.
МОЛОЧНАЯ СЫВОРОТКА;WHEY;WHEY;Низкий;Синтетический;Побочный продукт при изготовлении сыра. Смесь белка, лактозы,минералов и воды. Содержит фактор роста, стимулирующий деление клеток эпидермиса и антибактериальные вещества. Используется в эмульсиях по уходу за кожей, пилингах. Skin-Conditioning Agent - Miscellaneous\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению.
МАСЛО РОМАШКИ АПТЕЧНОЙ;CHAMOMILLA RECUTITA (MATRICARIA) OIL;CHAMOMILLA RECUTITA (MATRICARIA) OIL;Низкий;Натуральный;Эфирное масло получаемой из соцветий или целого растения паровой дистилляцией. вязкая темно-голубая жидкость с сильным травяным запахом и фруктовой нотой. В состав входят хамазулен, бисаболол, фарнезен. Хамазулен отвечает за успокаивающие и противовоспалительное действия. Масло обладает бактерицидным, ранозаживляющим свойствами, снимает воспаление и зуд при солнечных, термических ожогах и укусах насекомых. стимулирует рост волос, питает и восстанавливает из структуру, устраняет перхоть. Разглаживает мелкие морщины, избавляет от акне, угрей. Осветляет кожу лица и волосы. Может использоваться во всех типах косметических средств в т.ч. в детской косметике.;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ХВОЩ ПОЛЕВОЙ ЭКСТРАКТ ЛИСТЬЕВ;EQUISETUM ARVENSE (HORSETAIL) LEAF EXTRACT;EQUISETUM ARVENSE (HORSETAIL) LEAF EXTRACT;Низкий;Натуральный;В наземной части содержатся сапонины, каротин, витамин С, алколоиды, фитонциды. Экстракт способствует ускоренному обновлению клеток кожи, стягиванию пор, заживлению мелких ран. Оказывает тонизирующее и вяжущее действие, сглаживает неровности кожи. Если используется жирорастворимая фракция, то это источник фитоэкстрагенов. Рекомендуется использовать в кремах и масках для нормальной и жирной кожи, средствах по уходу за волосами.Skin-Conditioning Agent - Miscellaneous\; ASTRINGENT\; EMOLLIENT\; SOOTHING\; TONIC;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
МОЖЖЕВЕЛЬНИК ОБЫКНОВЕННЫЙ ЭКСТРАКТ ЯГОД;JUNIPERUS VIRGINIANA (VIRGINIA RED CEDAR) FRUIT EXTRACT;JUNIPERUS VIRGINIANA (VIRGINIA RED CEDAR) FRUIT EXTRACT;Низкий;Натуральный;Зрелые ягоды можжевельника содержат эфирное масло, сахара, органические кислоты (уксусная, муравьиная, яблочная), минеральные соли, смолистые вещества, воски. Обладает дезинфицирующим, противовоспалительным, болеутоляющим действием, эффективен как очищающий и гиперемический ингредиент в косметических препаратах. В сочетании с другими экстрактами вводят в очищающие, питательные и тонизирующие кремы, средства для век. В средствах для волос способствует улучшению и восстановлению структуры волос, повышению их блеска.;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
КРАМЕРИЯ ЭКСТРАКТ КОРНЯ;KRAMERIA TRIANDRA (RHATANY) ROOT EXTRACT;KRAMERIA TRIANDRA (RHATANY) ROOT EXTRACT;Низкий;Натуральный;Ратания. Южно-африканское полукустарниковое растение семейства бобовых. Корень растения содержит танины, а также другие дубильные вещества пирокатехиновой группы. В коре найден флобафен. Экстракт корня характеризуется противовоспалительным, вяжущим, солнцезащитными свойствами. Используется в средствах для жирной кожи и средствах для загара.Fragrance Ingredient\; Skin-Conditioning Agent - Miscellaneous\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению
МЫЛЬНЯНКА ЛЕКАРСТВЕННАЯ ЭКСТРАКТ;SAPONARIA OFFICINALIS (SOAPWORT) EXTRACT;SAPONARIA OFFICINALIS (SOAPWORT) EXTRACT;Низкий;Натуральный;Корни растения содержат до 35% тритерпеновых сапонинов, пектины, слизь, полисахариды. Натуральный пенообразователь. Оказывает очищающее,  противовоспалительное, противогрибковое действие, улучшает обмен веществ. Используется при кожных заболеваниях в виде средств для ванн, в шампунях от перхоти, очищающих растворах. Способствует заживлению гнойных ран, экзем, рожистых воспалений. В косметике используется как очищающий компонент в шампунях, дезинфицирующий компонент в средствах от пота, препаратах для ухода за кожей ног. Skin-Conditioning Agent - Miscellaneous\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
САХАРОЗЫ ЭФИРЫ;SUCROSE ESTERS;SUCROSE ESTERS;Низкий;Синтетический;Неионогенные эмульгаторы натурального происхождения, полученные в результате процесса этерификации из сахара и жирных кислот кокосового или пальмового масла. Белые порошки без вкуса и запаха. Помимо эмульгирующего действия эфиры сахарозы обладают увлажняющими свойствами, снимают раздражение от других ингредиентов косметических рецептур\; некоторые эфиры ингибируют рост определенных микроорганизмов. Применяются в декоративной косметике, очищающих продуктах для тела и лица: скрабах гелях для умывания.;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ЦЕДРОЛ;CEDROL;CEDROL;Низкий;Синтетический;Кристаллический продукт с мягким древесно-кедровым запахом. Содержится во многих эфирных маслах, преимущественно в кедровом, виргинском и мексиканском можжевеловом. Вырабатываются в больших количествах путем фракционной перегонки виргинского можжевелового и кедрового масла. Применяется в парфюмерных композициях и отдушках.Fragrance Ingredient\; Skin-Conditioning Agent - Emollient\; Skin-Conditioning Agent -Occlusive\; MASKING\; SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ПОЛИСОРБАТ 61;POLYSORBATE 61;POLYSORBATE 61;Низкий;Синтетический;Этоксилированный жирный спирт. Эмульгатор систем М/В. Используется в различных типах косметических средств. Fragrance Ingredient\; Surfactant - Emulsifying Agent;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ЛАУРИЛДИМОНИУМГИДРОКСИПРОПИЛ ГИДРОЛИЗАТ ПРОТЕИНОВ ПШЕНИЦЫ;LAURYLDIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN;LAURYLDIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN;Низкий;Синтетический;Катионное кондиционирующее вещество для волос. Улучшает расчесываемость сухих и влажных волос. Придает объем, шелковистость и блеск волосам. Используется во всех типах косметических средств по уходу за волосами.;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
КРОТОН ДРАКОНОВЫЙ СМОЛА;CROTON LECHLERI RESIN EXTRACT;CROTON LECHLERI RESIN EXTRACT;Низкий;Натуральный;Драконова кровь. Водорастворимая смола. Оказывает сильное противовоспалительное, антивирусное, противоопухолевое действие , ускоряет  заживление ран. Также обладает противоотечным действием. Способствует регенерации кожи, борется с последствиями старения\; стимулирует выработку коллагена и повышает упругость и эластичность кожи.SKIN CONDITIONING;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ГОЛУБИКА УЗКОЛИСТНАЯ ЭКСТРАКТ ПЛОДОВ;VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT;VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT;Низкий;Натуральный;Экстракт богат мирицитрином и мирицетиномю Блокирует нейромышечную передачу (botox-like эффект) за счет подавления высвобождения ацетилхолина. Разглаживает морщины, включая мимические, усиливает синтез коллагена и защиту гликации. Защищает кожу от растяжения, подтягивает отвисщую кожу. Оказывает цитопротекционное действие, защищает ДНК. Использует в средствах для кожи лица.;Абсолютно безопасный компонент при использовании по назначению. Возможна индивидуальная непереносимость.
ЛАУРИЛТЕТРАЭТОКСИФОСФАТ;TRILAURETH-4 PHOSPHATE;TRILAURETH-4 PHOSPHATE;Низкий;Синтетический;Слабое анионное ПАВ. Прозрачная светло-желтая жидкость, растворимая я воде и низших спиртах. Эмульгатор с сильным диспергирующим действием. Прменяется в технологии холодного приготовления кремов, особенно при использовании минеральных и растительных масел. Обладает антистатическим свойством. Входит в состав косметических кремов различного назначения. Surfactant - Emulsifying Agent;Безопасный компонент.
ОКСИХИНОЛИН;OXYQUINOLINE;OXYQUINOLINE;Средний;Синтетический;Противомикробное средство, при аппликации на кожу обеспечивает длительное противогрибковое действие на ее поверхности. Активен в отношении различных видов дерматофитов. Не оказывает местного раздражающего действия и не инактивируется белками тканей. Согласно Регламенту ЕС 1223/2009 и ТР ТС 009/2011 разрешен к использованию как стабилизатор перекиси водорода в смываемых препаратах для окраски волос в максимально допустимой концентрации 0.3% в пересчете на основание, в несмываемых препаратах - 0.03%.Chelating Agent\; Cosmetic Biocide\; STABILISING;Не следует постоянно применять средства, содержащие данный компонент.
